age  team  league  position  game_played  game_started  min_pg  fg_pg  fga_pg  fg_pct  fg3_pg  fg3a_pg  fg3_pct  fg2_pg  fg2a_pg  fg2_pct  efg_pct  ft_pg  fta_pg  ft_pct  orb_pg  drb_pg  trb_pg  ast_pg  stl_pg  blk_pg  tov_pg  pf_pg  pts_pg  draft_order  shoot_hand  player_height  player_weight  C  SG  SF  PG  PF  Right  Left  6-11  7-1  6-8  7-3  6-0  5-10  6-5  6-6  5-11  6-1  6-4  5-9  6-7  6-3  6-10  7-2  6-9  7-0  6-2  
24  PHI  NBA  PF  51  2  18.8  2.3  5.2  .440  0.0  0.3  .154  2.3  5.0  .455  .444  0.5  0.8  .675  2.1  3.4  5.4  1.3  0.4  0.5  0.8  2.3  5.2  50  Right  6-9  260  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
25  IND  NBA  C  63  0  17.0  2.2  4.7  .472  0.0  0.0  0.0  2.2  4.7  .472  .472  0.5  0.7  .702  2.0  3.2  5.1  1.2  0.2  0.7  0.6  1.6  5.0  50  Right  6-9  260  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
26  IND  NBA  PF  79  28  20.2  2.4  4.7  .516  0.0  0.0  0.0  2.4  4.7  .516  .516  0.6  0.9  .630  2.1  3.3  5.4  1.0  0.3  0.5  0.9  1.9  5.4  50  Right  6-9  260  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
27  IND  NBA  PF  61  5  14.3  1.3  2.8  .458  0.0  0.0  .000  1.3  2.7  .461  .458  0.4  0.5  .697  1.7  1.9  3.6  0.9  0.3  0.4  0.5  1.3  2.9  50  Right  6-9  260  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
23  BOS  NBA  SG  77  34  16.4  2.4  5.0  .475  0.2  0.4  .387  2.2  4.6  .483  .491  1.5  2.0  .737  1.1  1.8  2.9  0.8  1.0  0.3  1.0  2.0  6.4  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
24  BOS  NBA  PG  51  9  19.2  2.5  5.4  .471  0.2  0.7  .324  2.3  4.7  .492  .491  2.0  2.6  .746  0.6  1.5  2.2  1.3  1.0  0.4  1.3  2.5  7.2  25  Right  6-4  213  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
25  BOS  NBA  SG  33  18  24.4  4.0  7.8  .514  0.2  1.0  .242  3.8  6.8  .553  .529  3.2  4.1  .784  1.1  2.7  3.8  1.7  1.5  0.4  2.3  2.6  11.5  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
26  BOS  NBA  SG  75  11  18.3  2.3  5.2  .434  0.2  0.8  .316  2.0  4.4  .455  .458  1.8  2.4  .762  0.5  1.8  2.2  1.5  0.8  0.3  1.5  2.2  6.6  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
27  BOS  NBA  SG  46  2  19.3  3.0  6.2  .482  0.1  0.6  .222  2.8  5.6  .510  .493  1.7  2.4  .725  0.5  1.8  2.3  1.4  1.2  0.5  1.7  2.1  7.8  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
28  BOS  NBA  SG  54  8  16.5  2.4  4.7  .510  0.0  0.1  .000  2.4  4.6  .520  .510  1.3  2.2  .605  1.0  1.7  2.7  1.3  1.1  0.4  1.2  2.0  6.1  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
